title,price,available_quantity,image,description
Bread,499,2,Tome,This is for your consumption
Bread and egg,45745,2,Tyoe,White bread with fried egg
Bread and egg,34773,2,Jjek, White bread with boiled eggs and fish
Bread and egg,4590450,2,https://www.panerabread.com/foundation/menu/details/sourdough-bread-loaf.jpg/_jcr_content/renditions/sourdough-bread-loaf.desktop.jpeg, White bread with boiled eggs and fish
Bread and egg,4590450,2,https://www.panerabread.com/foundation/menu/details/sourdough-bread-loaf.jpg/_jcr_content/renditions/sourdough-bread-loaf.desktop.jpeg, White bread with boiled eggs and fish
Bread and egg,4590450,45,https://www.panerabread.com/foundation/menu/details/sourdough-bread-loaf.jpg/_jcr_content/renditions/sourdough-bread-loaf.desktop.jpeg, White bread with boiled eggs and fish
Bread and egg,4590450,45,https://www.panerabread.com/foundation/menu/details/sourdough-bread-loaf.jpg/_jcr_content/renditions/sourdough-bread-loaf.desktop.jpeg, White bread with boiled eggs and fish
Bread and egg,370,45,https://www.panerabread.com/foundation/menu/details/sourdough-bread-loaf.jpg/_jcr_content/renditions/sourdough-bread-loaf.desktop.jpeg, White bread with boiled eggs and fish
Rice and stew,370,45,"http://img.sndimg.com/food/image/upload/h_465,w_620,c_fit/v1/img/recipes/14/73/35/atH696PRBqsWnaaZGtKg_DSC_0514.JPG",Corporate
Jollof rice,370,45,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Small Business
Yam and beans,370,45,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Home Office
Yam and eggs,370,8,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Corporate
Meat,345,10,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Corporate
Chicken,2550.14,6,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Corporate
Chicken pie,55.48,49,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Corporate
Pistachios,28.99,27,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Home Office
Almonds,4.91,30,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Corporate
Apple,259.71,19,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Home Office
Pear,59.78,21,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Corporate
Grapes,4.13,12,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Consumer
Peanut butter and Bread,30.98,22,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Consumer
Burger,7.38,21,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Small Business
Eba and efo riro,26.38,44,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Small Business
Amala and ewedu,2.16,45,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Corporate
startch and okra soup,50.98,32,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Corporate
Beans and bread,2.08,32,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Corporate
Salad,6.48,31,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Consumer
Coleslaw,64.98,15,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Home Office
Sphagetti,19.23,46,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Home Office
Noodles,300.98,16,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Home Office
Yourghurt,500.98,44,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Home Office
Eggs,45.19,11,http://www.allnigerianrecipes.com/images/nigerian-jollof-rice.jpg,Home Office
Plantain and beans,11.97,15,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Pottage,4.55,18,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Yam pottage,28.48,13,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Unripe plantain pottage,4.14,21,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Pickles,12.53,33,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Pizza,5.85,38,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Home Office
Pie,280.98,30,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Fish pepper soup,177.98,23,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Meat pepper soup,50.98,25,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Chicken pepper soup,48.04,28,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Mpin Moin,261,49,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Akara and oats,1599,10,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Fried rice and chicken,804,21,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Ofada stew with white rice,223,39,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Ofada stew with ofada rice,12.95,24,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
White beans and stew,115.99,27,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Stir fry,65.99,39,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Bread,15.98,47,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Bread and egg,140.85,49,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Bread and egg,4.28,18,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Bread and egg,56.96,30,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Bread and egg,279.48,5,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Bread and egg,165.98,21,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Bread and egg,308,8,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Bread and egg,128.24,5,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Rice and stew,1098,9,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Small Business
Jollof rice,2989,11,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Yam and beans,4048,50,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Yam and eggs,3599,3,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Meat,180.98,30,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Chicken,150.98,7,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Chicken pie,381,42,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Small Business
Pistachios,11.5,11,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Small Business
Almonds,2299,22,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Apple,1166,12,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Pear,12.88,8,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Grapes,15.28,7,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Peanut butter and Bread,300.98,3,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Burger,65.99,44,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Small Business
Eba and efo riro,4.91,25,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Amala and ewedu,27.75,19,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
startch and okra soup,110.98,6,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Beans and bread,2.18,40,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Salad,699.99,18,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Coleslaw,110.99,11,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Sphagetti,3.38,41,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Noodles,8.74,47,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Yourghurt,2.78,40,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Eggs,4.14,18,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Plantain and beans,6.48,32,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Pottage,3.28,5,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Yam pottage,9.78,41,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Consumer
Unripe plantain pottage,3.28,22,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Pickles,12.95,50,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Pizza,24.92,37,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Pie,83.1,4,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Fish pepper soup,90.98,19,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Meat pepper soup,6.48,24,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Chicken pepper soup,39.99,40,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Small Business
Mpin Moin,300.98,5,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
Akara and oats,20.98,41,http://img.taste.com.au/yiHkedvg/taste/2016/11/fried-rice-83398-1.jpeg,Corporate
